26,Soil Moisture,35.0,124.13793103448276,173.33060264336098,173.70339075387682,259373.33060264337,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
27,Soil Moisture,-40.0,-9.818181818181884,190.83376722761128,190.90238744163966,259390.83376722762,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
28,Soil Moisture,30.000000000000004,-92.90322580645153,193.86137672539016,194.17426266337944,259393.8613767254,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
29,Soil Moisture,-5.0,-78.59154929577471,195.91746311108375,196.19112684930937,259395.91746311108,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
30,Soil Moisture,-10.0,143.9999999999999,197.3945426930159,197.47146740311672,259397.39454269301,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
31,Soil Moisture,30.000000000000004,-156.77419354838707,200.23163346653186,200.4654538287428,259400.23163346652,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
32,Soil Moisture,-40.0,140.72727272727266,203.38642254997103,203.44272515859265,259403.38642255,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
33,Soil Moisture,-10.0,5.14285714285707,209.7150659149739,209.81499742384733,259409.71506591496,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
34,Soil Moisture,10.0,77.14285714285708,209.739614896927,210.68462404765893,259409.7396148969,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
35,Soil Moisture,5.0,-124.22535211267608,209.8772002333659,210.26388012763195,259409.87720023337,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
36,Soil Moisture,-25.0,-124.61538461538453,210.73308541839947,210.74366198446074,259410.7330854184,Accuracy,0.01,0.017,0.05,%,Temporal,24.0,34.0,72.0,hrs,Spatial,0.5,0.75,1.0,km
