Tropics,SAT4,1200,6929.060977083159,6983.688648919679
Tropics,SAT4,1200,12872.20545059228,12926.875455343397
Tropics,SAT4,669,17086.22948495597,17139.847202876394
Tropics,SAT4,1191,18064.50625066461,18120.244982251017
Tropics,SAT4,422,14482.900118223011,14536.79570451027
Tropics,SAT4,850,8194.0158085367,8249.353364551036
Tropics,SAT4,249,10741.820230612131,10795.786383269418
Tropics,SAT4,1141,12368.619998526501,12423.27305494609
Tropics,SAT4,1196,12536.900211100947,12591.583834422263
Tropics,SAT4,1196,18479.87408926681,18534.513599410162
Tropics,SAT4,821,5902.357725761055,5957.987143655655
Tropics,SAT4,1136,17930.14865890088,17984.784157010483
Tropics,SAT4,755,174.0576883467164,227.84682876143563
Tropics,SAT4,383,10890.790111786455,10946.534481448236
Tropics,SAT4,385,11014.086273675179,11068.753574518212
Tropics,SAT4,813,17302.295923812842,17355.975722073505
Tropics,SAT4,1194,12374.712055286103,12430.952160439168
Tropics,SAT4,1194,18311.49430404063,18366.128906894657
Tropics,SAT4,1203,1238.0057481250803,1292.6495430431255
Tropics,SAT4,1203,7181.198606690016,7235.8449699183675
Tropics,SAT4,14,4459.652608466872,4514.5808271935775
Tropics,SAT4,741,17163.88506267073,17217.663298619696
Tropics,SAT4,417,20121.761208285905,20175.564440156413
Tropics,SAT4,845,13833.773683800706,13888.119929028182
Tropics,SAT4,487,20015.61747090764,20069.32435141029
Tropics,SAT4,774,13839.306154689453,13895.054748330798
Tropics,SAT4,979,7840.871329163569,7854.8656025631035
Tropics,SAT4,459,5344.519728300573,5400.1733808793215
Tropics,SAT4,746,11520.705246764897,11574.296979973806
Tropics,SAT4,563,14262.439721128245,14316.293640688751
Tropics,SAT4,1142,12447.351130452102,12502.840034542589
Tropics,SAT4,1145,6731.35859322225,6786.240425063425
Tropics,SAT4,1145,18660.317215687977,18715.659662684906
Tropics,SAT4,840,19473.10329138288,19526.952476609913
Tropics,SAT4,354,14587.951948782664,14641.847094125123
Tropics,SAT4,1135,17856.244295247536,17912.36455183389
Tropics,SAT4,573,2850.0418349112088,2904.624419050245
Tropics,SAT4,1043,7850.627762039009,7906.679044741579
Tropics,SAT4,1042,7785.726244464407,7839.956305600265
Tropics,SAT4,10,4125.570683408569,4180.2118354603535
Tropics,SAT4,10,10068.402259358989,10123.101734691358
Tropics,SAT4,110,9386.661216092754,9441.775348645964
Tropics,SAT4,1207,1573.2332775102736,1627.9548322992175
Tropics,SAT4,750,5817.148078638749,5871.483196709096
Tropics,SAT4,162,14895.609164307152,14951.096051942168
Tropics,SAT4,751,5877.458868111893,5931.208640757039
Tropics,SAT4,714,2673.8149863562844,2727.6807608149493
Tropics,SAT4,224,14795.904797244899,14850.37880681773
Tropics,SAT4,882,17360.708681944037,17395.955227216287
Tropics,SAT4,170,3451.545684508629,3506.4450547764354
Tropics,SAT4,461,5465.796444141187,5520.536356499489
Tropics,SAT4,1155,1589.1250678396684,1645.4905205654688
Tropics,SAT4,1155,7538.204427854353,7593.466130021444
Tropics,SAT4,756,234.16814347496432,288.4137059637408
Tropics,SAT4,107,15115.466573953701,15172.24444906135
Tropics,SAT4,12,4293.976293654514,4348.610197003297
Tropics,SAT4,12,10228.658163234402,10285.029879583917
Tropics,SAT4,165,15115.466573953701,15172.24444906135
Tropics,SAT4,1205,1405.9313134649087,1460.5831056318996
Tropics,SAT4,1205,7344.51759851535,7399.993735099009
Tropics,SAT4,700,19675.62156369452,19729.317027480567
Tropics,SAT4,62,10084.324924535884,10140.660069726673
Tropics,SAT4,62,16033.351678568462,16088.560003473318
Tropics,SAT4,225,14863.632493992645,14918.011663097475
Tropics,SAT4,488,20075.60538651043,20130.84239229333
Tropics,SAT4,775,13901.261220080165,13955.001632811465
Tropics,SAT4,486,19955.027338993783,20010.364397872178
Tropics,SAT4,226,14933.121466408378,14989.362572937709
Tropics,SAT4,897,450.67472621707793,504.69849864097154
Tropics,SAT4,167,9191.234662600013,9245.50111393304
Tropics,SAT4,168,9260.459222748923,9316.348120666526
Tropics,SAT4,164,15040.015155419918,15094.946979368091
Tropics,SAT4,674,11438.684568992203,11492.595085539464
Tropics,SAT4,353,14525.271441065328,14580.350186216643
Tropics,SAT4,908,19386.349535916816,19440.912102382685
Tropics,SAT4,321,5248.381941266669,5303.651807775986
Tropics,SAT4,310,16444.922344956307,16500.198544926465
Tropics,SAT4,705,14028.184809058996,14081.867086366401
Tropics,SAT4,254,5120.409433323951,5175.315066889568
Tropics,SAT4,951,17568.692687451326,17622.947886192385
Tropics,SAT4,891,6017.791092637008,6073.375222746743
Tropics,SAT4,109,9313.183136852742,9367.493664342554
Tropics,SAT4,13,4377.562641972236,4432.212775487061
Tropics,SAT4,163,14966.818558786876,15021.138862184413
Tropics,SAT4,602,11356.462887499987,11411.494437177653
Tropics,SAT4,1204,1321.6717880008237,1376.3064684592016
Tropics,SAT4,1204,7263.875810043776,7318.689274975654
Tropics,SAT4,971,19170.793724151154,19225.55378532433
Tropics,SAT4,1195,12454.93243808473,12510.018300391797
Tropics,SAT4,1195,18395.755774209993,18450.40618097187
Tropics,SAT4,1081,12139.827294630788,12194.067072872305
Tropics,SAT4,1198,6764.718859526495,6820.0853023487825
Tropics,SAT4,1198,12704.37175018635,12759.021046810845
Tropics,SAT4,1198,18644.441082717065,18699.61874749248
Tropics,SAT4,964,578.8629369453173,633.1062982294646
Tropics,SAT4,252,4990.072721605887,5045.510200089115
Tropics,SAT4,1041,7717.096131986455,7771.7999938923695
Tropics,SAT4,108,9241.733810056834,9296.947879682857
